HATTON PLANTATIONS PLC,,,,,,,,,,,,
VELLAIOYA ESTATE,,,,,,,,,,,,
 Plucking Rounds month of September 2025 ,,,,,,,,,,,,
Div,Month after Pruning,"Field
No.","Extent
in Ha.",VP/SD,Last Pruned,Month after Pruning,Month Yield, N RATIO ,, Plucking Rounds ,Remarks,
,,,,,,,,,,,,
,,,,,,,, 12 MON , SEAS ,,,
,25,52A,  2.00 ,VP,27-Aug-23,25,  202 ,  18.10 ,  17.52 ,  1 ,,52A
,30,52,  2.00 ,VP,19-Mar-23,30,  154 ,  16.68 ,  15.87 ,  1 ,,52
,31,46,  3.00 ,VP,28-Feb-23,31,  130 ,  18.14 ,  14.93 ,  1 ,,46
,31,47,  1.50 ,VP,28-Feb-23,31,  144 ,  18.71 ,  14.55 ,  1 ,,47
,36,45,  3.75 ,VP,09-Sep-22,36,  142 ,  21.22 ,  12.56 ,  1 ,,45
,,,  33.50 ,,,,  117 ,  22.01 ,  17.73 ,  1 ,,
AGO,7,9G,  4.00 ,VP,02-Feb-25,7,  118 ,  72.40 ,  36.41 ,  2 ,,
,12,4A,  4.00 ,VP,31-Aug-24,12,  82 ,  23.26 ,  19.34 ,  2 ,,
,18,9H,  4.00 ,VP,21-Mar-24,18,  91 ,  29.04 ,  15.75 ,  2 ,,
,25,3B,  4.50 ,VP,18-Aug-23,25,  75 ,  30.59 ,  22.97 ,  1 ,,
,31,3A,  5.00 ,VP,12-Feb-23,31,  79 ,  27.07 ,  15.59 ,  2 ,,
,36,9I,  3.50 ,VP,19-Sep-22,36,  89 ,  29.09 ,  17.71 ,  1 ,,
,,,  25.00 ,,,,  89 ,  30.60 ,  20.08 ,  1 ,,
,,,  325.50 ,,,,  83 ,  28.40 ,  16.41 ,  1 ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,  46.49 ,,,,,,,,,
,,,  226.23 ,,,,,,,,,
